redVarietal,isVQA,subCategory/description,subCategory/id,consumerRating,featured/0,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured/0,_all_featured/1,promotionEndDate,sku,isLimitedTimeOffer,_featured/0,image,availableUnits,last_updated,subRegion,unitSize,upc/0,_blacklist,volume,name,style,countryName,isBCCraft,region,status,statusCode,color,grapeType,_regularPrice,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured/0,all_featured/1,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class/description,class/id,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions/0/urlAlias,all_promotions/0/name,all_promotions/0/promoCode,all_promotions/0/published,all_promotions/0/shortName,promotions/0/urlAlias,promotions/0/name,promotions/0/promoCode,promotions/0/published,promotions/0/shortName,nameSanitized,isBCVQA,_currentPrice,_promotionEndDate,votes,category/description,category/id,upc/1,upc/2,upc/3,upc/4,all_promotions/0,promotions/0,certificates/0,upc/5,upc/6,upc/7,upc/8,upc/9,upc/10,upc/11,upc/12,upc/13,upc/14,_all_featured/2,all_featured/2,upc/15,upc/16,upc/17,upc/18,upc/19,is_special_release,availability_override,upc/20,upc/21,upc/22,certificates/1
,,Italy Wine,1043,3.6,BCL Select,,19.99,,,,Muscat / Moscato,"Aromatic and sweet white sparkling wine, pale yellow color, the nose is fresh and intriguing, with hints of white flowers, peaches and citrus zest. Pairs well with pastries, pies or stuffed peaches. It makes an excellent dessert wine!
",,BCL Select,BCL Select,,712331,,BCL Select,http://www.bcliquorstores.com/files/712331.jpeg,2693,4/4/2019 18:10,Other,1,8.05646E+12,FALSE,0.75,ACQUESI  - ASTI,,Italy,FALSE,Piedmont,2,2,WHITE,MUSCAT/MOSCATO,19.99,FALSE,142, ASTI,7,,TRUE,BCL Select,BCL Select,C,,ACQUESI  ,IT,,Italy Sparkling Wine,1205,Sparkling Wine,FALSE,FALSE,0,19.99,8,FALSE,/promotion/2019-apr-bcl-select,BCL Select,2019APRBCLSELECT,TRUE,BCL Select,/promotion/2019-apr-bcl-select,BCL Select,2019APRBCLSELECT,TRUE,BCL Select,acquesi  - asti,,19.99,,179,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aglianico,,Italy Wine,1043,4.1,,,21.99,,,,,"92 Points & Editors' Choice, Wine Enthusiast - ""Truffle, blackberry, dark spice, dark chocolate and new-leather aromas take center stage on this delicious full-bodied red. The smooth, enveloping palate doles out juicy Marasca cherry, ripe plum, vanilla and a confectionery note framed in velvety tannins. It's structured but also remarkably easy drinking and a fantastic value. Drink through 2022."" (June 2017)
",,,,,783498,,,http://www.bcliquorstores.com/files/783498.jpeg,1273,4/4/2019 18:10,,1,8.02792E+12,FALSE,0.75,AGLIANICO DEL VULTURE - BASILISCO BARILE TEODOSIO 2014,,Italy,FALSE,Other Italy South,2,2,RED,AGLIANICO,21.99,FALSE,102, BASILISCO BARILE TEODOSIO 2014,14,,FALSE,,,SR,,AGLIANICO DEL VULTURE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,0,21.99,0,FALSE,,,,,,,,,,,aglianico del vulture - basilisco barile teodosio 2014,,21.99,,143,Wine,1005,8.02792E+12,8.02792E+12,8.02792E+12,8.02792E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Grape Variety,,Italy Wine,1043,2.4,,,43.99,,,,,"""100% Aglianico del Vùlture. These grapes are grown on the extinct volcano, Vulture, hence the name del Vulture.With a broad and complex bouquet, Likos is a richly textured wine and with a firm tannic structure. ""
",,,,,403840,,,http://www.bcliquorstores.com/files/403840.jpeg,0,4/4/2019 18:10,,1,8.03397E+12,TRUE,0.75,AGLIANICO DEL VULTURE - LIKOS 2009,,Italy,FALSE,Other Italy South,4,4,RED,OTHER GRAPE VARIETY,43.99,FALSE,, LIKOS 2009,14,,FALSE,,,ST,,AGLIANICO DEL VULTURE ,IT,,Italy Red Wine,1203,Red Wine,FALSE,FALSE,2,43.99,0,FALSE,,,,,,,,,,,aglianico del vulture - likos 2009,,43.99,,45,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France Wine,1037,3.7,,,25.99,,,,,"The dominant Chardonnay brings notes of white flowers such as acacia, as well as fruity notes of pear and peach. The freshness brings balance and length.
",,,,,692228,,,http://www.bcliquorstores.com/files/692228.jpeg,452,4/4/2019 18:10,Languedoc-Various Aop,1,3.06267E+12,FALSE,0.75,AGUILA - CREMANT DE LIMOUX BRUT,,France,FALSE,Languedoc / Roussillon,2,2,NOT APPLICABLE,NOT APPLICABLE,25.99,FALSE,20, CREMANT DE LIMOUX BRUT,12.5,,FALSE,,,SR,,AGUILA ,FR,,France Sparkling Wine,1154,Sparkling Wine,FALSE,FALSE,0,25.99,1,FALSE,,,,,,,,,,,aguila - cremant de limoux brut,,25.99,,61,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spain Wine,1051,4.1,,,29.99,,,,,"Lovely pale straw color; herbal and minty tones to fresh and fruity nose; ripe apple with a hint of caramel in the mouth. An excellent balance of fruit and acidity with a fine aftertaste.
",,,,,478800,,,http://www.bcliquorstores.com/files/478800.jpeg,5,4/4/2019 18:10,,1,8.42474E+12,FALSE,0.75,AGUSTI TORELLO MATA - BRUT RESERVA 2013,,Spain,FALSE,Catalonia,3,3,NOT APPLICABLE,NOT APPLICABLE,29.99,FALSE,1, BRUT RESERVA 2013,11.5,,FALSE,,,ST,,AGUSTI TORELLO MATA ,ES,,Spain Sparkling Wine,1268,Sparkling Wine,FALSE,FALSE,1,29.99,0,FALSE,,,,,,,,,,,agusti torello mata - brut reserva 2013,,29.99,,28,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux Blend,,France Wine,1037,4,,,160,,,,,"“Blended of 55% Sauvignon Blanc, 43% Sémillon and 2% Muscadelle, the 2015 Aile d’Argent charges forth from the glass with gregarious ripe peach, pink grapefruit and orange blossom notes plus touches of beeswax, fresh hay, acacia honey, baking bread and allspice. Medium-bodied, the palate is tightly wound and satiny textured with wonderful freshness defining the palate and lifting the intense stone fruit and savoury layers, finishing very long and very minerally. Drink: 2018 - 2030.”
93 Points, Wine Advocate
1 bottle limit
",,,,,995589,,,http://www.bcliquorstores.com/files/995589.jpeg,0,4/4/2019 18:10,Other,1,3.27703E+12,TRUE,0.75,AILE D'ARGENT 2015,,France,FALSE,Bordeaux,4,4,RED,BORDEAUX BLEND,160,FALSE,,AILE D'ARGENT 2015,13,,FALSE,,,SU,,,FR,,France White Wine,1155,Red Wine,FALSE,FALSE,2,160,NA,FALSE,,,,,,,,,,,aile dargent 2015,,160,,1,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France Wine,1037,2,,,130,,,,Bordeaux Blend,"""A plump, rounded style, with a slight waxy edge to the core of peach and nectarine notes, backed by heather and lemon curd flavours. A salted butter spine keeps this honest. 91 pts, Wine Spectator""",,,,,367730,,,http://www.bcliquorstores.com/files/367730.jpeg,0,4/4/2019 18:10,Other,1,6.2699E+11,TRUE,0.75,AILE D'ARGENT DU MOUTON ROTHSCHILD 2014,,France,FALSE,Bordeaux,2,2,WHITE,BORDEAUX BLEND,130,FALSE,,AILE D'ARGENT DU MOUTON ROTHSCHILD 2014,13,,FALSE,,,SU,,,FR,,France White Wine,1155,White Wine,FALSE,FALSE,0,130,0,FALSE,,,,,,,,,,,aile dargent du mouton rothschild 2014,,130,,2,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,France Wine,1037,4.5,,TRUE,19.99,,,2019-04-01T00:00:00.000-07:00,,"Impressive is the high quality and terrific value of Barbebelle’s entry level rosé. It is surprisingly rich while maintaining a wonderful freshness. Aromas of fresh strawberry, sour cherry and white flowers. Round, succulent and absolutely delicious with a finish that is packed with bright fruit. All and all, a rare value from Provence!
",2019-04-01T00:00:00.000-07:00,BCL Select,On Sale,2019-04-27T00:00:00.000-07:00,150519,TRUE,,http://www.bcliquorstores.com/files/150519.jpeg,28,4/4/2019 18:10,,1,3.41401E+12,FALSE,0.75,AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE FLEURI ROSE 2018,,France,FALSE,Provence,3,3,ROSE,NOT APPLICABLE,19.99,FALSE,4, CHATEAU BARBEBELLE FLEURI ROSE 2018,13,,TRUE,BCL Select,On Sale,C,,AIX EN PROVENCE ROSE ,FR,,France Rose Wine,1153,Rose Wine,FALSE,FALSE,1,16.97,0,FALSE,,,,,,,,,,,aix en provence rose - chateau barbebelle fleuri rose 2018,,16.97,2019-04-27T00:00:00.000-07:00,38,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Portugal Wine,1048,3.6,,,17.99,,,,,"93 Points & Editor’s Choice, Wine Enthusiast - “Named after the owner of the estate in the Alentejo that the Fonseca family bought in 1986, this wine is packed with firm, generous tannins and ripe, juicy black fruits. It has some oak aging that has given the wine a polished feel. With its concentration, structure and final acidity, it will age well. Drink from 2018.” (June 2016)
",,BCL Select,,,396689,,,http://www.bcliquorstores.com/files/396689.jpeg,973,4/4/2019 18:10,,1,5.60117E+12,FALSE,0.75,ALENTEJANO - FONSECA JOSE DE SOUSA,,Portugal,FALSE,Other Portugal North,2,2,RED,OTHER BLEND,17.99,FALSE,64, FONSECA JOSE DE SOUSA,13.5,,TRUE,BCL Select,,C,,ALENTEJANO ,PT,,Portugal Red Wine,1248,Red Wine,FALSE,FALSE,0,17.99,1,FALSE,,,,,,,,,,,alentejano - fonseca jose de sousa,,17.99,,47,Wine,1005,6.0047E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Blend,,Portugal Wine,1048,4,,,14.99,,,,,"From Herdade Sao Miguel in Portugal's Alentejo, this wine, the ""secrets of Sao Miguel"", is a smooth and silky red blend which really over-delivers on price. Made from Alicante Bouschet, Aragonez, Touriga Nacional and Trincadeira, this will go down well with pasta, lamb, white meats and soft cheeses.
",,BCL Select,,,167370,,,http://www.bcliquorstores.com/files/167370.jpeg,220,4/4/2019 18:10,,1,5.60039E+12,FALSE,0.75,ALENTEJANO - SEGREDOS DE SAO MIGUEL,,Portugal,FALSE,Other Portugal South,2,2,RED,OTHER BLEND,14.99,FALSE,30, SEGREDOS DE SAO MIGUEL,13.5,,TRUE,BCL Select,,C,,ALENTEJANO ,PT,,Portugal Red Wine,1248,Red Wine,FALSE,FALSE,0,14.99,0,FALSE,,,,,,,,,,,alentejano - segredos de sao miguel,,14.99,,30,Wine,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
