name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
1000 Stories Bourbon Barrel-Aged Zinfandel 750 mL,1000 Stories Bourbon Barrel-Aged Zinfandel 750 mL,149636,https://www.everythingwine.ca/1000-stories-bourbon-barrel-aged-zinfandel-750-ml,USA,California,Red,Zinfandel,,,,$29.99 
14 Hands Cabernet Sauvignon 750 mL,14 Hands Cabernet Sauvignon 750 mL,469957,https://www.everythingwine.ca/14-hands-cabernet-sauvignon,USA,Washington - Columbia Valley,Red,Cabernet Sauvignon,,,,$25.98 
14 Hands Hot to Trot Red Blend 750 mL,14 Hands Hot to Trot Red Blend 750 mL,252718,https://www.everythingwine.ca/14-hands-hot-to-trot-red,USA,Washington,Red,Red Blend,,,,$16.99 
14 Hands Merlot 750 mL,14 Hands Merlot 750 mL,916833,https://www.everythingwine.ca/14-hands-merlot,USA,Washington - Columbia Valley,Red,Merlot,,,,$25.98 
1884 Reservado Cabernet Sauvignon 750 mL,1884 Reservado Cabernet Sauvignon 750 ml,750547,https://www.everythingwine.ca/1884-reservado-cabernet,Argentina,Mendoza,Red,Cabernet Sauvignon,,,,$15.99 
1884 Reservado Mendoza Malbec 750 mL,"A customer favorite and a great BBQ wine, this Malbec goes very well with red meats as may be expected from an Argentine red. Made from grapes grown in the Andes mountains the aroma and palate of this Malbec are a delicate blend of forest fruits, plum and cherry.",770925,https://www.everythingwine.ca/1884-reservado-malbec,Argentina,Mendoza,Red,Malbec,76%,"A vibrant red with violet tones, the aroma and palate of this Malbec are a delicate blend of forest fruits, plum and cherry. Smooth and concentrated tannins in the mouth result in a long and firm finish with minor hints of oak.","Pairs well with BBQ meats, cecina tacos and stuffed cheese.",$15.99 
1884 Reservado Syrah 750 mL,1884 Reservado Syrah 750 ml,744532,https://www.everythingwine.ca/1884-reservado-syrah,Argentina,Mendoza,Red,Syrah,60%,,,$17.99 
"19 Crimes Shiraz, Durif 750ml","19 Crimes Shiraz, Durif 750ml",200717,https://www.everythingwine.ca/19-crimes-shiraz-durif,Australia,South Australia,Red,Red Blend,,,,$16.99 
"19 Crimes Shiraz, Grenache & Mourvedre Red Blend 750 mL","The 19 Crimes red blend bears the same traits as those banished to Australia. Defiant by nature, bold in character. Always uncompromising. It's a taste you'll never forget.",612911,https://www.everythingwine.ca/19-crimes-shiraz-grenache-mourvedre-750ml,Australia,South Australia,Red,Red Blend,,"The 19 Crimes red blend bears the same traits as those banished to Australia. Defiant by nature, bold in character. Always uncompromising. It's a taste you'll never forget.",,$21.98 
19 Crimes The Warden Red Blend 750 mL,Don't let this masterful blend escape you. Each powerful note brings you one step closer to a night filled with mischief and fun. Brooding with dark cherry and blackberry it is mouth coating with lashings of criminally intense dark fruit. Great with a rack of lamb or a grilled portebello mushroom burger.,167765,https://www.everythingwine.ca/19-crimes-the-warden-red-blend-750ml,Australia,South Australia,Red,Red Blend,,"The Warden is a Shiraz-based red blend with tons of richness and complexity. On the nose, there is ample plum, currant, and cherry intermixed with vanilla and cinnamon spice. The same flavor profile is evident in the mouth, picking up some licorice notes.","Superb with braised short ribs, Australian meat pies, rack of lamb or a grilled portebello mushroom burger.",$39.99 
50th Parallel Estate Pinot Noir 750 mL,50th Parallel Estate Pinot Noir 750 mL,271239,https://www.everythingwine.ca/50th-parallel-pinot-noir,Canada,BC - Okanagan Valley,Red,Pinot Noir,,,,$29.98 
75 Wine Co. The Sum Cabernet Sauvignon 750 mL,The Sum Cabernet Sauvignon 750 mL,404319,https://www.everythingwine.ca/the-sum-cabernet-sauvignon,USA,California - Napa Valley,Red,Cabernet Sauvignon,,"This amazingly well endowed profoundly rich red wine must be smelled and tasted to be believed. The color is a rich, deep purple garnet and gives but a small hint as to what’s inside. The nose gives off soaring and wonderfully focused aromas of ripe stone fruit, vanilla, cherries, cedar cigar box, blackberries and cinnamon. In the mouth, there are layers upon layers of broad, sweet opulent fruit balanced by firm tannins, great acidity and oak.",,$48.98 
8th Generation Vineyard Cabernet Merlot 750 mL,8th Generation Vineyard Cabernet Merlot 750 mL,28963,https://www.everythingwine.ca/8th-generation-vineyard-cabernet-merlot-750-ml,Canada,BC - Okanagan Valley,Red,Red Blend,,"Merlot - an Okanagan beauty combined with equally renowned Cabernet Sauvignon blends together into red wine heaven. The Cabernet Sauvignon provides the structure (dark flavour of black currant and ripe bell pepper) while the Merlot shows off the fatter, juicier (black cherry, cocoa) component.","So versatile when it comes to food pairing. This wine is made to complement your dishes, not to outdo them. You won’t get tired of this wine as it got a wonderful structure combined with soft tannins and fruit. Have it with roasts, BBQ steaks, heavy stews or just a book.",$28.98 
Aalto Ribera Del Duero Tempranillo 750 mL,Aalto Tempranillo 750 mL,91769,https://www.everythingwine.ca/aalto-ribera-del-duero,Spain,Ribera Del Duero,Red,Tempranillo,,"Deep purple red colour, as corresponds to old Tempranillo grapes. On the nose we perceive good fruit intensity, a great deal of freshness and hints of well integrated wood. On the palate we find all the elements one can expect from a great vintage: complexity, tannic structure, intensity and elegance. The typical flavours of our grape and our region are evident with liquorice, black berries, coffee, tobacco and spice, always within the distinct style of AALTO. This wine can be enjoyed now but will benefit from a time in the bottle, and will improve and gain complexity over many years if properly cellared.",,$88.98 
Adega De Borba  Red Blend 750ml,Adega De Borba  Red Blend 750ml,956243,https://www.everythingwine.ca/adega-de-borba-red-blend-750ml,Portugal,Alentejo,Red,Red Blend,,,,$21.98 
Adega Estate Winery Merlot 750 mL ,Adega Merlot 750 mL,419721,https://www.everythingwine.ca/adega-merlot-750-ml,Canada,BC - Okanagan Valley,Red,Merlot,,"This Fruit forward wine is loaded with aroma of blackberry, cherry and hints of plum with accompanying notes of vanilla and anise. The soft tannins and long linger fruit finish with the light accompanying notes of oak make this a well balanced wine in flavour and structure which makes this wine easily approachable.",,$16.79 
Adelsheim  Elizabeth's Reserve Pinot Noir 750 mL,Adelsheim Elizabeth's Reserve Willamette Valley Pinot Noir 750 mL,95828,https://www.everythingwine.ca/adelsheim-elizabeth-s-reserve,USA,Oregon - Willamette Valley,Red,Pinot Noir,,,,$95.98 
Akarua Rua  Central Otago Pinot Noir 750 mL,Akarua Rua Central Otago Pinot Noir 750ml,20552,https://www.everythingwine.ca/akarua-rua-central-otago-pinot-noir-750ml,New Zealand,Central Otago,Red,Pinot Noir,,,,$35.98 
Albino Rocca Vigna Loreto Ovello Barbresco 750 mL,Albino Rocca Vigna Loreto Ovello Barbresco 750 mL,182744,https://www.everythingwine.ca/albino-rocca-vigna-loreto-ovello-barbresco-750-ml,Italy,Piedmont - Barbaresco,Red,Nebbiolo,,,,$89.98 
Aldo Conterno 'Il Favot'  Nebbiolo 750 mL,Aldo Conterno 'Il Favot'  Nebbiolo 750 mL,154807,https://www.everythingwine.ca/aldo-conterno-il-favot-nebbiolo-750-ml,Italy,Piedmont - Langhe,Red,Nebbiolo,,,,$114.98 
Alma Mora Cabernet Sauvignon 750 mL,Alma Mora Cabernet Sauvignon 750 mL,417568,https://www.everythingwine.ca/alma-mora-cabernet-sauvignon-750-ml,Argentina,Mendoza,Red,Cabernet Sauvignon,,,,$14.99 
Alpha Box & Dice Blood of Jupiter Sangiovese/Cab Sauv 750 mL,Alpha Box & Dice Blood of Jupiter Sangiovese/Cab Sauv 750 mL,139777,https://www.everythingwine.ca/alpha-box-dice-blood-of-jupiter-sangiovese-cab-sauv-750-ml,Australia,McLaren Vale,Red,Red Blend,,"It might not be a technical DOC wine classification, but the Super Tuscan is a sight to behold and a joy to taste. Sangiovese and Cabernet Sauvignon, making peace between the Italians and French. A traditionally fruity and earthy wine like Sangiovese meeting the bold and tannic density of Cabernet – the marriage creates a well-rounded, full-bodied and full-flavoured ensemble. Flavours of Maraschino cherries, whiskey style oak, complex bitters, chewy tannins and black olives.",,$44.99 
Alpha Box & Dice Kit & Kaboodle Red Blend 750 mL,Alpha Box & Dice Kit & Kaboodle Red Blend 750 mL,865162,https://www.everythingwine.ca/alpha-box-dice-kit-kaboodle-red-blend-750-ml,Australia,McLaren Vale,Red,Red Blend,,"Black cherry leather, boysenberry, tobacco and peppercorns fill the voluminous palate of Kit & Kaboodle, a McLaren Vale and Langhorne Creek blend of montepulciano, cabernet sauvignon and barbera. An herbal mustard seed edge from first sniff weaves throughout the juicy acidity, framed by pencil shaving tannins. Bright and mouthwatering on the warming finish.",Pair with red meats such as lamb and goat to bring out the wild flavours of the wine.,$29.98 
Alpha Estate Hedgehog Vineyard Xinomavro 750 mL,Alpha Estate Hedgehog Vineyard Xinomavro 750ml,231290,https://www.everythingwine.ca/alpha-estate-hedgehog-vineyard-xinomavro-750ml,Greece,Other,Red,Xinomavro,,,,$32.98 
Altesino Brunello di Montalcino 750 mL,"No stranger to these pages, Altesino’s gulpable, modern Brunello is getting as many raves for this 2013 victory lap as it did for the stellar 2012 vintage that warranted it. Bursting with cola, eucalypt and sage, swirling around pomegranate and happiness. One could well put this down for a decade’s nap, but I won’t do that and neither will you (if you still have some 2012, you are stronger than me). Altesino is racy, big and delicious in youth.",139220,https://www.everythingwine.ca/altesino-brunello-2009,Italy,Tuscany - Montalcino,Red,Sangiovese,,"Ruby red, tending to garnet red with aging. A broad, ethereal and compound smell with sweet red cherries, flowers, mint and spices just some of the aromas and flavors that emerge from this mid-weight, restrained Brunello. Altesino impresses for its balance, freshness and finessed tannins. It isn’t a blockbuster, but it will drink well with its dry, warm and velvety taste denoting a rich texture and fine breed.","Pairs exceedingly well with roasted red meat, noble game and medium aged cheese.",$59.99 
Altesino Rosso di Montalcino Red Blend 750 mL ,Altesino Rosso di Montalcino Red Blend 750 mL,769141,https://www.everythingwine.ca/altesino-rosso-di-montalcino-red-blend-750-ml,Italy,Tuscany - Montalcino,Red,Red Blend,80%,,,$28.99 
Alto Moncayo Grenache 750 mL,Alto Moncayo Grenache 750 mL,850685,https://www.everythingwine.ca/alto-moncayo-2003-grenache-750-ml,Spain,Campo de Borja,Red,Garnacha,,,,$80.98 
Altos las Hormigas Terroir Malbec 750 mL,Altos las Hormigas Terroir Malbec 750 mL,41566,https://www.everythingwine.ca/altos-las-hormigas-ter-malbec,Argentina,Mendoza,Red,Malbec,,,,$31.98 
Alvaro Palacios Vi de Villa Gratallops Priorat 750 mL,Chateau Bel Orme Tronquoy de Lalande Red Blend 375 mL,51967,https://www.everythingwine.ca/chateau-bel-orme-tronquoy-de-lalande-red-blend-375-ml,Spain,Priorat,Red,Red Blend,,,,$80.98 
Amalaya Malbec 750 mL,Colome Amalaya Malbec 750 mL,168294,https://www.everythingwine.ca/colome-amalaya,Argentina,Salta,Red,Malbec,,"Brilliant ruby color with violet edges. Strawberries, raspberries and ripe fruit with touch of pepper and spices aromas. In mouth, flavors of red fruit, spice and hints of vanilla from aging in French oak. Round, soft tannins lead to a delicate, lingering finish.",,$21.99 
Ambrogio e Giovanni Folonari Campo al Mare 2015 Rosso Bolgheri 750 mL,"Awarded 94 Points from James Suckling, the Ambrogio e Giovanni Folonari Campo al Mare Rosso Bolgheri 2015 is a powerful blend which is built for aging making it perfect for the collector. With its flavours of dark fruit and licorice this is a great wine to pair with red meats such as braised shoulder of lamb.",118547,https://www.everythingwine.ca/campo-al-mare-rosso,Italy,Tuscany - Bolgheri,Red,Red Blend,,"On the nose are intense aromas of red berries with the palate boasting flavours of dark fruit, licorice and notes of violet and balsamic. A powerful blend which is built for aging.",With its firm tannins and intense fruit flavours this is a wine that pairs well with red meats such as braised shoulder of lamb or a grilled beef tenderloin with blue cheese butter. Equally versatile with non-meat dishes however such as a barley risotto or some delicious fondue.,$46.99 
Anakena Birdman Series Cabernet Sauvignon 750 mL,Anakena Birdman Series Cabernet Sauvignon 750 mL,743294,https://www.everythingwine.ca/anakena-birdman-series-cabernet-sauvignon-750-ml,Chile,Central Valley,Red,Cabernet Sauvignon,,,,$15.98 
Anarchist Mountain Vineyards Mayhem 750 mL,Anarchist Mountain Mayhem Merlot 750ml,275404,https://www.everythingwine.ca/anarchist-mountain-mayhem-merlot-750ml,Canada,BC - Okanagan Valley,Red,Red Blend,,"Aromatically it shows blueberry, plum, cocoa, white pepper and smoked meat notes.",,$42.98 
Anciano Gran Reserva Tempranillo Aged 10 Years 750 mL,Anciano Gran Reserva Tempranillo Aged 10 Years 750 mL,789354,https://www.everythingwine.ca/anciano-gran-reserva-10-years,Spain,Valdepenas,Red,Tempranillo,80%,,,$16.49 
Anciano Gran Reserva Tempranillo Aged 7 Years 750 mL,Anciano Gran Reserva Tempranillo Aged 7 Years 750 mL,425926,https://www.everythingwine.ca/anciano-gran-reserva-7-years,Spain,Valdepenas,Red,Tempranillo,80%,,,$14.99 
Andean  Reserve Malbec 750 mL,Andean Reserve Malbec 750ml,3242,https://www.everythingwine.ca/andean-reserve-malbec-750ml,Argentina,Mendoza,Red,Malbec,,,,$23.98 
Angeline Cabernet Sauvignon 750 mL,Angeline Vineyards Reserve Cabernet Sauvignon 750ml,264697,https://www.everythingwine.ca/angeline-vineyards-reserve-cabernet-sauvignon-750ml,USA,California - Paso Robles,Red,Cabernet Sauvignon,,,,$30.98 
Angeline Pinot Noir 750 mL,Angeline Pinot Noir 750ml,297416,https://www.everythingwine.ca/angeline-pinot-noir-750ml,USA,California - Paso Robles,Red,Pinot Noir,,,,$31.98 
Angels & Cowboys Red Blend 750 mL,California Red Angels & Cowboys 750ml,762716,https://www.everythingwine.ca/california-red-angels-cowboys,USA,California - Sonoma,Red,Red Blend,,,,$40.98 
Angove Organic Cabernet Sauvignon 750 mL,"Certified organic, the Angove Cabernet Sauvignon is a delicious Australian red boasting fruity aromas of blackcurrant and cherry before a flavorful palate of red fruit and bell peppers. The perfect accompaniment to barbecued meats and grilled vegetables.",21282,https://www.everythingwine.ca/angove-hopes-end-cabernet-sauvignon-750-ml,Australia,McLaren Vale,Red,Cabernet Sauvignon,,"Dark intense red with purple hues. Aromas of blackcurrant, cherry and chocolate. Bell peppers, blackcurrant, cigarbox and chocolate with soft oak flavours on the palate,  it has a long yet soft earthy finish.",Unsurprisingly for an Australian red this wine pairs well with barbecued meats such as a ribeye with grilled seasonal vegetables or vegan ravioli.,$19.98 
Angus The Bull Cabernet Sauvignon 750 mL,Angus The Bull Cabernet Sauvignon 750 mL,110510,https://www.everythingwine.ca/angus-the-bull-cab-sauv,Australia,South Australia,Red,Cabernet Sauvignon,80%,,,$20.99 
Antinori  Bolgheri Guado Al Tasso 2015 750 mL,Antinori  Guado Al Tasso Bolgheri 750 mL,722660,https://www.everythingwine.ca/antinori-guado-al-tasso-bolgheri-750-ml,Italy,Tuscany - Bolgheri,Red,Red Blend,,"Guado al Tasso is characterized by a rich and complex bouquet with notes of tobacco, toasted coffee, and leather which fuse with the aromas of ripe berry fruit. The palate is a vibrant one, with both tannins and freshness well present to give savor and persistence. The finish and aftertaste are spicy and fruity, complete and fragrant. It is a vintage which a very important aging potential.","This is a serious Bordeaux-styled red wine that needs a long decant, and should be served with grilled meats or sharp cheeses.",$118.98 
Antinori Peppoli Sangiovese 750 mL,Antinori Peppoli Sanviovese 750 mL,606541,https://www.everythingwine.ca/antinori-peppoli-chianti,Italy,Tuscany - Chianti,Red,Sangiovese,100%,,,$26.99 
Apothic  Crush Red Blend 750 mL,Apothic Crush Red Blend 750ml,496471,https://www.everythingwine.ca/apothic-crush-red-blend-750ml,USA,California,Red,Red Blend,,,,$15.49 
Apothic Dark Red Blend 750 mL,"Bottled as a limited edition, combining petite sirah, teroldego and cabernet sauvignon the Apothic dark red is a richer blend with less fruit and more tannins that combine to give you a lasting taste that remains with you for a while. It was clearly a successful experiment as the dark blend is one of our customer favourites.",852566,https://www.everythingwine.ca/apothic-dark,USA,California,Red,Red Blend,100%,Dark fruit flavors of blueberry and blackberry with opulent notes of coffee and dark chocolate.,,$15.49 
