name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
Bench 1775 Glow Rose 750 mL,Bench 1775 Glow Rose 750 mL,230789,https://www.everythingwine.ca/bench-1775-glow,Canada,BC - Okanagan Valley,Rose,Red Blend,,,,$23.98
Beringer  White Zinfandel Rose 750 mL,Beringer California Collection White Zinfandel 750ml,239756,https://www.everythingwine.ca/beringer-cal-white-zinfandel,USA,California,Rose,Zinfandel,,,,$7.99
Woodbridge by Robert Mondavi White Zinfandel 750 mL,Woodbridge  by Robert Mondavi White Zinfandel 750ml,249656,https://www.everythingwine.ca/woodbridge-white-zinfandel,USA,California,Rose,Zinfandel,,Pale pink colour; fresh berry aroma and flavour; soft off-dry finish.,,$7.47
Gallo Family Vineyards White Zinfandel 750 mL,Gallo Family Vineyards White Zinfandel 750ml,285767,https://www.everythingwine.ca/gallo-family-vineyards-wh-zin,USA,California,Rose,Zinfandel,80%,,,$8.99
Sawmill Creek White Zinfandel Rose 750 mL,Sawmill Creek White Zinfandel 750ml,436147,https://www.everythingwine.ca/sawmill-creek-white-zinfandel,Canada,Canada,Rose,Zinfandel,,,,$8.98
Barefoot Pink Moscato 750 mL,Barefoot Pink Moscato 750 ml,57489,https://www.everythingwine.ca/barefoot-pink-moscato,USA,California,Rose,Moscato,100%,"Barefoot Pink Moscato is a perfect wine option for those hot summer evenings! It provides the traditional flavors and aromas of Moscato with additional sweet layers of vibrant red fruit. The best aromas of Mandarin orange and sweet jasmine crash into each other to create a deliciously sweet sea of pink goodness. Subtle flavors of cherry, raspberry, and pomegranate wash ashore in this flavorful wine experience.","Pink Moscato is a versatile wine that pairs good with spicy appetizers, Chinese take-out or fresh strawberries and whipped cream.",$8.49
Jackson-Triggs  Proprietors' Selection Rose 750 mL,Jackson-Triggs  Proprietors' Selection Rose 750ml,619791,https://www.everythingwine.ca/jt-proprietors-rose,Canada,Canada,Rose,Red Blend,,,,$11.98
Baillie-Grohman Estate Winery Blanc de Noirs Rose 750 mL,Baillie-Grohman Estate Winery Blanc de Noirs Rose 750ml,672584,https://www.everythingwine.ca/baillie-grohman-blanc-de-noirs,Canada,BC - Kootenay,Rose,Pinot Noir,,,,$20.29
Radio Boka Rose 750 mL,Radio Boka Rose 750 mL,788521,https://www.everythingwine.ca/radio-boka-rose-750-ml,Spain,La Mancha,Rose,Red Blend,,"This delicious Rosé is a mouth full of big Spanish fruit. Sweet wild strawberry, mouth-watering raspberries and an exciting hint of lavender will have you talking non stop.",,$16.98
Schmitt Sohne Relax Pink 750ml,Schmitt Sohne Relax Pink 750ml,69237,https://www.everythingwine.ca/schmitt-sohne-relax-pink-750ml,Spain,Other,Rose,Red Blend,,"A fruity Spanish Rosé with fresh aromas of strawberries and cherries. It is beautifully balanced with a refreshing crispness and soft, round finish.",,$16.98
Jacob's Creek Moscato Rose 750 mL,Jacob's Creek Moscato Rose 750 mL,745984,https://www.everythingwine.ca/jacob-s-creek-moscato-rose-750-ml,Australia,New South Wales,Rose,Moscato,100%,"Clear, pale pink colour; candied fruit aromas with citrus and honeysuckle notes; sweet and fruity with a medium finish.",,$12.29
Haywire - Okanagan Crush Pad White Label Gamay Noir Rose 750 mL,Haywire Winery Gamay Noir Rose 750ml,687103,https://www.everythingwine.ca/haywire-winery-gamay-noir-rose-750ml,Canada,BC - Okanagan Valley,Rose,Red Blend,,"A delicate salmon hue, lifted berry fruit, with a hint of thyme and spice. Delicate floral and citrus notes dance on the palate. Texturally lush and glossy, with a fresh and lively finish.",,$26.98
La  Bonhomme  Rose 750ml,La  Bonhomme  Rose 750ml,28741,https://www.everythingwine.ca/la-bonhomme-rose-750ml,Spain,Valencia,Rose,Red Blend,,,,$17.98
Louis Jadot Coteaux Bourguignons Rose 750ml,Louis Jadot Coteaux Bourguignons Rose 750ml,35042,https://www.everythingwine.ca/louis-jadot-coteaux-bourguignons-rose-750ml,France,Burgundy,Rose,Red Blend,,,"Serve chilled as an aperitif or with salads, pasta dishes, grilled fish, cold meat.",$32.98
Monster Vineyards Rose 750 mL,Monster Vineyards Rose 750 ml,486969,https://www.everythingwine.ca/monster-vineyards-rose-750-ml-2,Canada,BC - Okanagan Valley,Rose,Red Blend,,Elements of electric grape-fruit with notes of strawberries and bright fruit flavours on the finish. Crisp acidity and a hint of sweetness make this rosé demonstrably optimistic and cheerful.,The perfect pairing for summer patios.,$15.99
La Piuma  Rosato 750 mL,A versatile and intense Rosé that can be enjoyed on a patio or with lighter dishes. It is crisp with flavours of fresh strawberry and raspberry with a long dry finish. Pair this refreshing wine with appetizers or sushi. ,12498,https://www.everythingwine.ca/la-piuma-rosato-750ml,Italy,Abruzzo,Rose,Montepulciano,80%,"The La Piuma Rosato is intensely fruity and juicy with notes of candy and Swedish berries, yet it finishes drier than expected. Aromas of red berries on the nose the palate is crisp and fruity with flavours of strawberries, raspberry and citrus.","Fish                                                A lovely and flavourful Rosé that's great to enjoy on its own or paired with lighter dishes such as grilled salmon, sushi and appetizers.",$14.99
Oyster Bay Marlborough Rose 750 mL,Oyster Bay Rose 750 mL,888999,https://www.everythingwine.ca/oyster-bay-rose-750-ml,New Zealand,Marlborough,Rose,Pinot Noir,,"This delicious Rose from New Zealand's popular Oyster bay estate is a concentration of fresh fruit flavour, elegance and balance. Rose in colour with brilliant clarity it has lively aromas of summer fruits. On the palate it is vibrant and fresh with cherry flavours and a lingering finish.",,$19.99
Hester Creek Cabernet Franc Rose 750 mL ,Hester Creek Cabernet Franc Rose 750ml,776500,https://www.everythingwine.ca/hester-creek-cabernet-franc-rose-750ml,Canada,BC - Okanagan Valley,Rose,Cabernet Franc,,"Fresh aromas of strawberry and rhubarb are followed by a palate loaded with bright berry flavours, crisp acidity, and a hint of white pepper on the finish.","Drink it cold on a hot day, or sip it alongside a plate of charcuterie and medium to strong cheeses.",$18.99
Masia F Garnacha Rose 2016 750ml,"The Masia F Garnacha Rosé is full of lively summer fruit flavours, just off dry in style to be the perfect partner to drink on its own or with a wide variety of fish and white meat dishes. Enjoy!",281089,https://www.everythingwine.ca/masia-f-garnacha-rose-2016-750ml,Spain,La Mancha,Rose,Garnacha,,,,$10.98
Cellier Des Princes La Princesse Rose Vaucluse 750 mL,Cellier Des Princes Vaucluse La Princess Rose 750ml,262022,https://www.everythingwine.ca/cellier-des-princes-vaucluse-la-princess-rose-750ml,France,Rhone - Vaucluse,Rose,Red Blend,,"Youthful strawberry, raspberry, cranberry share stage on this dry, light bodied and pink, one that finishes sunny and juicy.",,$15.98
Unsworth Vineyards Rose  750 mL,Unsworth Vineyards Rose  750 mL,996439,https://www.everythingwine.ca/unsworth-vineyards-rose-750-ml-2,Canada,BC - Vancouver Island,Rose,Pinot Noir,,,,$26.98
Frescobaldi  Ammigalia Alie  Rose 750ml,Frescobaldi  Ammigalia Alie  Rose 750ml,217901,https://www.everythingwine.ca/frescobaldi-ammigalia-alie-rose-750ml,Italy,Tuscany,Rose,Red Blend,,"Scents of spring wildflowers, wild strawberries, and citrus peel combine with a tasty vein of earthy minerality, classic to this growing area, that supports a delicate structure and infuses a lengthy, complex finish.","Alìe makes an enchanting apèritif wine as well as throughout a meal, enjoyed with close friends and family.",$29.98
Poplar Grove Blanc De Noirs 750 mL ,Poplar Grove Blanc De Noirs 750 mL,761528,https://www.everythingwine.ca/poplar-grove-blanc-de-noirs-750-ml,Canada,BC - Okanagan Valley,Rose,Red Blend,,Rose quartz colour with aromas of strawberries and rhubarb and fresh roses. Flavours of pink grapefruit and watermelon burst through with lovely notes of lime zest on the mid palate. This rosé offers a silky smooth mouthfeel and a taste much like delving into a strawberry parfait. This bright and racey wine finishes long and refreshes the palate with a taste of strawberries & cream.,,$28.98
Domaine Fazi Ile De Beaute Rose 750 mL,Domaine Fazi Ile De Beaute Rose 750 mL,52115,https://www.everythingwine.ca/domaine-fazi-ile-de-beaute-rose-750-ml,France,Other,Rose,Other,100%,"Tight, tense, saline, with pink grapefruit and watermelon and citrus rind, it’s underpinned with granitic minerals and bone dry.",,$18.98
Santa Rita  120 Rose 750 mL,Santa Rita 120 Rose 750 ml,5061,https://www.everythingwine.ca/santa-rita-120-rose-750-ml,Chile,Central Valley,Rose,Red Blend,,"Intense violet-red color. This Rosé is reminiscent of its variety, dominant notes of cherry,plums and certain fruits of the forest; it is a light wine, easy to drink, with refreshing acidity, on the palate it is abundantly perfumed.","A good aperitif, also pairs well with light food such as salads, soft cheese. Ideal with creamy desserts such as fruit tarts, strudel or pie.",$14.98
Henri Gaillard  Cotes de Provence Rose 750ml ,Henri Gaillard  Provence Rose 750ml,31490,https://www.everythingwine.ca/henri-gaillard-provence-rose-750ml,France,Provence,Rose,Red Blend,,,,$22.98
Boutinot  Pasquiers Rose 750ml,Boutinot  Pasquiers Rose 750ml,561514,https://www.everythingwine.ca/boutinot-pasquiers-rose-750ml,France,Languedoc,Rose,Red Blend,,This luscious and textural blend is very much a food wine; rich currant flavours provided by Grenache and tangy raspberry and spice from Cinsault before a dry and fresh finish.,"Pasta dishes, barbeques and grilled chicken salads.",$15.98
Reserve de Bertrands Elegance Rose Cotes du Provence  750ml,Reserve Chateau de Berne Elegance Rose Cotes du Provence  750ml,34213,https://www.everythingwine.ca/chateau-de-berne-elegance-rose-cotes-du-provence-750ml,France,Provence,Rose,Red Blend,,,,$20.98
