name,summary,sku,url,country,region,style,grape,rating,tasting_notes,food_pairings,price
Kim Crawford  Marlborough Sauvignon Blanc 750 mL,"This sets the benchmark for New Zealand's intensely flavourful style of Sauvignon Blanc. Vivid and refreshing, it pairs well with steamed clams or mussels with asparagus risotto, or grilled chicken.",100594,https://www.everythingwine.ca/kim-crawford-sauvignon-blanc,New Zealand,Marlborough,White,Sauvignon Blanc,100%,"Light straw in colour with yellow and green hues. The aromas are of citrus and tropical fruits backed by characteristic herbaceous notes for which Marlborough Sauvignon Blanc is renowned. On the palate this is an exuberant wine brimming with juicy acidity and fruit sweetness, providing a balanced flavour profile. The finish is fresh, zesty, and lingering.","A great wine to share on social occasions the Kim Crawford Sauvignon Blanc pairs particularly well with a number of dishes. Vivid and refreshing try it with shellfish such as steamed clams, mussels, oysters or lobsters. For lighter dishes why not sample a glass or two with asparagus risotto, summer salads or grilled chicken.",$17.99 
Schloss Laderheim  Riesling 4.0 L,Schloss Laderheim  Riesling 4L,106765,https://www.everythingwine.ca/schloss-laderheim-4l,Canada,Canada,White,Riesling,,,,$32.99 
Peller Estates Proprietor's Reserve  Sauvignon Blanc 4.0 L,Peller Prop Res  Sauvignon Blanc 4 L,134726,https://www.everythingwine.ca/peller-prop-res-sauv-blanc-2,Canada,Canada,White,Sauvignon Blanc,,,,$35.49 
Bibi Graetz  Casamatta Bianco 750 mL,Bibi Graetz Bianco  750ml,147462,https://www.everythingwine.ca/bibi-graetz-casamatta,Italy,Tuscany,White,White Blend,,"A floral and citrus driven refreshing white with flavors of honeysuckle, lime, green apple. Minerality and a bright, savory acidity make this a fantastic food wine.
!",,$22.49 
14 Hands Hot to Trot White Blend 750 mL,14 Hands Hot to Trot White Blend 750 mL,309922,https://www.everythingwine.ca/14-hands-hot-to-trot-white,USA,Washington,White,White Blend,,"This vibrant white blend sports apple, pear and melon aromas complemented by citrus and floral notes. Ripe white fruit flavors are repeated on the palate, joined by hints of sweet lemon and balanced by crisp acidity, ending with a juicy finish.","Pair this refreshing white blend with a fruit salad, gourmet cheeses or charcuterie",$14.98 
Les Halos de Jupiter Chateauneuf-Du-Pape Blanc 750ml,Les Halos de Jupiter Chateauneuf-Du-Pape Blanc 750ml,422568,https://www.everythingwine.ca/les-halos-de-jupiter-cdp-blanc,France,Rhone - Chateauneuf du Pape,White,White Blend,80%,,,$69.98 
Barefoot  Moscato 750 mL,Barefoot  Moscato 750ml,434431,https://www.everythingwine.ca/barefoot-moscato,USA,California,White,Moscato,80%,Delicious Easy drinking sipper!  Delightful flavours of sweet nectarine and lychee. Effervescent and light!,Sip this with orange juice for a perfect weekend brunch!,$9.99 
JaM Cellars Butter Chardonnay 750 mL,"Butter Chardonnay is rich, bold and luscious. Made in the tradition of quality Californian winemaking, the grapes we select are juicy, ripe and bursting with flavor. We cold ferment this easy-to-love Chardonnay to a lush creaminess and age it in our unique blend of oak. Butter brims with stone fruit and baked-lemon notes and has a lovely, long, vanilla finish. Simply put, it melts in your mouth!",436170,https://www.everythingwine.ca/butter-chardonnay,USA,California,White,Chardonnay,100%,,,$32.98 
Jacob's Creek  Cool Harvest Pinot Grigio 750 mL,"Jacob's Creek  Cool Harvest Pinot Grigio is a fresh, lively Pinot Grigio with a touch of residual sugar and delicate flavours synonymous with the Cool Harvest style. Enjoy this wine gently chilled with seafood.
",436584,https://www.everythingwine.ca/jacob-s-creek-ch-pinot-grigio,Australia,South Australia,White,Pinot Grigio,,"Elegant balance of fresh cut pear and red apple aromas with fresh lemon citrus fruit notes. Refreshing, zesty pear and citrus flavours balanced by lively natural acidity and fleshy fruit sweetness on the finish.","Perfect served chilled, either with grilled seafood and salads or by itself as an after work treat.",$12.98 
Dunavar  Pinot Grigio 750ml,Summer up your life with this elegantly styled and popular Hungarian Pinot Grigio from the Dunavar estate. Ample notes of ripe yellow fruit this medium bodied wine pairs well with a wide range of dishes,438119,https://www.everythingwine.ca/dunavar-pinot-grigio,Hungary,Other,White,Pinot Gris,93%,An elegant Pinot Grigio showing ample notes of ripe yellow fruit. With a medium body and smooth acidity providing a lasting after taste,"Great as an aperitif this wine can also be paired with a diverse range of meat, seafood or pasta dishes, to best appreciate the Dunavar however serve it chilled!",$10.99 
